Name,Age,Salary,Purchased
Isaac,19.0,65000,Yes
Yash,32.0,47500,Yes
Harsh,61.0,99500,Yes
Gagan,55.0,84000,Yes
Azad,19.0,41500,Yes
Tejas,,59500,Yes
Yashasvi,56.0,33000,Yes
Rushil,63.0,113000,No
Oni,32.0,87000,No
Arunima,18.0,50000,Yes
Pahal,39.0,65500,Yes
Nachiket,31.0,73000,No
Harsh,23.0,78500,Yes
Gunbir,40.0,74000,No
Aishani,20.0,88500,No
Jeet,,78000,No
Farhan,53.0,67500,Yes
Janaki,54.0,54500,Yes
Ekaraj,20.0,114500,No
Vedant,,67000,No
Fariq,32.0,42500,No
Lajita,35.0,88000,Yes
Janya,,50500,Yes
Kamala,40.0,56500,Yes
Amara,62.0,117000,Yes
Ekbal,56.0,111000,No
Onveer,52.0,61000,No
Nihal,47.0,78500,No
Anamika,58.0,118000,No
Theodore,61.0,71500,Yes
Daksh,32.0,34000,Yes
Diya,43.0,64000,Yes
Dominic,31.0,102500,No
Divya,31.0,113500,Yes
Xalak,43.0,112000,Yes
Tara,27.0,63500,Yes
Liam,33.0,101500,No
Adya,65.0,104500,Yes
Priya,55.0,81000,No
Janaki,32.0,47500,No
Yashodhara,49.0,41500,No
Champak,25.0,49500,Yes
Nathaniel,61.0,84000,No
Devansh,42.0,78500,No
Upadhriti,51.0,62000,No
Advay,61.0,44500,Yes
Amara,59.0,73500,Yes
Isaac,36.0,85500,Yes
Nakul,47.0,30000,Yes
Adya,50.0,52500,No
Yashica,24.0,110000,No
Chanchal,58.0,94500,No
Rushil,27.0,77500,Yes
Neel,52.0,97500,Yes
Aadi,56.0,71000,No
Vrinda,19.0,44000,No
Janani,37.0,60500,No
Dalbir,33.0,102500,Yes
Farhan,23.0,92000,No
Ekapad,52.0,46000,Yes
Kabir,60.0,90500,Yes
Noah,34.0,97500,No
Pallavi,31.0,99000,Yes
Sai,63.0,69500,Yes
Mohini,60.0,113000,Yes
Kashvi,46.0,96000,No
Siya,,45000,No
Yug,32.0,38000,No
Hamsini,19.0,105000,Yes
Victor,55.0,58000,Yes
Abhimanyu,,39000,No
Daniel,32.0,38500,Yes
Azad,39.0,39000,No
Yoshita,33.0,65500,Yes
Vedika,31.0,99000,No
Kevin,64.0,103000,Yes
Urvashi,33.0,90500,No
Niharika,30.0,42000,No
Gunbir,60.0,85000,No
Irya,45.0,82500,Yes
Unni,,36500,Yes
Guneet,21.0,81500,Yes
Harinakshi,24.0,61500,Yes
Rehaan,,54000,Yes
Saumya,26.0,84000,Yes
Qadim,35.0,89000,Yes
Zaid,22.0,86500,No
Guneet,21.0,113000,Yes
Alexander,23.0,60000,No
Ojas,44.0,92000,No
Vasana,31.0,81000,Yes
Daniel,,51000,No
Ladli,18.0,79500,No
Alka,47.0,66500,Yes
Pallavi,62.0,101000,Yes
Vidhi,,49500,No
Ranveer,36.0,57500,Yes
Dalbir,55.0,99000,Yes
Darsh,65.0,70000,Yes
Dakshesh,21.0,104500,No
